Russian,Occidental,Extra Info
вода,aqua,<B>R: </B>aqua<BR> вода
акварель,aquarell,<B>R: </B>aquarell<BR> акварель
водка|бренди|коньяк,aquavite • aquavit,"водка<BR><B>R: </B>aquavit<BR>бренди, коньяк"
орёл,aquil • a'quil • aquile • a'quile,<B>R: </B>орёл
приобретать|добывать|получать,aquisiter • aquisite • aquisitet,"приобретать, добывать,получать"
ар,ar,<B>R: </B>ар<BR>= 100 qu metres.
прил|от|арабеска,arabesc,<B>R: </B>прил. от арабеска
пунш,arac,<B>R: </B>пунш
паук,arane' • arane • arane'o • araneo • aranй,<B>R: </B>arane'<BR>паук
устраивать|приводить|в|порядок|расставлять|размещать,arangear • arangea • arangeat,"<B>R: </B>arange|ar<BR>устраивать<HR>приводить в порядок, расставлять, размещать rangear"
произвольный|своевольный|самоуправный,arbitrari,"произвольный, своевольный, самоуправный"
росредник,arbitro,<B>R: </B>arbitr|o<BR> росредник
дерево,arbor • a'rbor • a'rbore,<B>R: </B>a'rbor<BR>дерево
куст|кустарник,arbust,"<B>R: </B>arbust<BR> куст, кустарник"
куст,arbuste,куст
дуга,arc,<B>R: </B>arc<BR> дуга
архаизм,arcaism,"<B>R: </B>arca|ism<BR><I><B>*</B></I> архаизм<BR>-ic, -ist, --ic."
арх-,arch-,"<B>R: </B>arch-<BR><I><B>*</B></I> арх-<BR>-angel, -iduc, -episcop, -itrave, -itect, -ive"
архипелаг|островов|группа,archipelag,"архипелаг, островов группа"
пылкий|разгоряченный,ardent,"пылкий, разгоряченный"
пылать|калится,arder • arde • ardet,"<B>R: </B>ard|er<BR>пылать, калится"
сланец|шифер|аспид,ardese,"сланец, шифер, аспид"
жар|пыл,ardore,"жар, пыл"
пылкий,ardosi • ardos,пылкий
площадь|пространство|поверхность,area,"площадь, пространство, поверхность"
арена,arena,<B>R: </B>aren|a<BR><I><B>*</B></I> арена
арест,arest • arrest,<B>R: </B>ar(r)est<BR>арест
серебро,argente,<B>R: </B>argent|e<BR> серебро
глина,argil,<B>R: </B>argil<BR> глина
обосновывать|делать|вывод|аргумент,arguer • argue • arguet,"<B>R: </B>argu|er<BR>обосновывать, делать вывод<BR><B><I>*</B></I> ~ment = аргумент<BR>-ment"
аргумент|довод,argument,"аргумент, довод"
аргументировать,argumentar • argumenta • argumentat,аргументировать
ария,aria,<B>R: </B>ari|a<BR> ария
сухой|засохший,arid,"<B>R: </B>arid<BR> сухой, засохший"
аристократ,aristocrat,<B>R: </B>aristocrat<BR> аристократ
арифметика,arithmetica • aritmetica,<B>R: </B>arit(h)met|ica<BR>арифметика
прибывать,arivar • arrivar • ariva • arivat • arriva • arrivat,<B>R: </B>ar(r)iva|r<BR>прибывать
арлекин|шут,arlekin,"арлекин, шут"
арлекин,arleqin,<B>R: </B>arleqin<BR> арлекин
оружие,arm,<B>R: </B>arm<BR> оружие
вооружать|снаряжать,armar • arma • armat,"вооружать, снаряжать"
армия,arme' • arme • armй,<B>R: </B>arme'<BR>армия
перемирие,armisticie,перемирие
аромат,aromate,<B>R: </B>aromat|e<BR> аромат
орошать|поливать,arosear • arosea • aroseat,"орошать, поливать"
мышьяк,arsen,<B>R: </B>arsen<BR> мышьяк
арсенал,arsenale,<B>R: </B>arsenal|e<BR> арсенал
искусство,arte,<B>R: </B>art|e<BR> искусство
артерия,arterie,<B>R: </B>arteri|e<BR> артерия
артезианский,artesian,<B>R: </B>artesi|an<BR> артезианский<BR>(adj.)
артишок,artichoc,<B>R: </B>artichoc<BR> артишок
статья|член|артикль,article,"<B>R: </B>articl|e<BR> статья, (грамм.)член, артикль"
статья|член|артикль,articul,"статья, (грамм.)член, артикль"
артикулировать,articular • articula • articulat,<B>R: </B>articula|r<BR>артикулировать
артиллерия,artillerie,<B>R: </B>artilleri|e<BR> артиллерия
ремесло|промысел|мастерство,artise,"ремесло, промысел, мастерство"
аскарида|глиста,ascaride,"<B>R: </B>ascarid|e<BR> аскарида, глиста"
подниматься,ascender • ascende • ascendet,<B>R: </B>a|scend|er<BR><B><I>*</B></I> подниматься<BR>-{s}t
аскет,ascet,<B>R: </B>ascet<BR> аскет
асфальт,asfalt,<B>R: </B>asfalt<BR> асфальт
прибежище|пристаниище|убежище|приют,asil • asile,"прибежище, пристаниище, убежище, приют"
осёл,asino,<B>R: </B>asin|o<BR> осёл
спаржа,asparge,<B>R: </B>asparge<BR> спаржа
вид,aspecte,вид
выглядеть,aspecter • aspecte • aspectet,<B>R: </B>aspecter<BR>выглядеть
кропить|опрыскивать|обрызгивать,asperser • asperse • asperset,"кропить, опрыскивать, обрызгивать"
стремиться|дышать,aspirar • aspira • aspirat,<B>R: </B>aspira|r<BR>1)стремиться 2)дышать
суровый,aspri,<B>R: </B>aspr|i<BR> суровый
туз|асс,ass,"<B>R: </B>ass<BR> туз, асс"
штурмовать|атаковать,assaltar • assalta • assaltat,"штурмовать, атаковать"
убивать|совершать|убийство,assassinar • assassina • assassinat,"убивать, совершать убийство"
страховать|застраховывать,assecurar • assecura • assecurat,"страховать, застраховывать"
осаждать,assediar • assedia • assediat,<B>R: </B>assedia|r<BR>осаждать
ассамблея,assemble' • assemble • assemblй,ассамблея
согласие,assentiment • assentir,согласие
соглашаться,assentir • assenti • assentit,<B>R: </B>assenti|r<BR><B><I>*</B></I> соглашаться
утверждать,asserter • asserte • assertet,<B>R: </B>assert|er<BR>утверждать
утверждение|сообщение,assertion,"утверждение, сообщение (научное)"
юр|эксперт|юридический|советник|чиновник|налоговой|службы,assessor,"<B>R: </B>assessor<BR> 1) юр. эксперт, юридический советник 2) чиновник налоговой службы"
усидчивый,assidui • assidu,<B>R: </B>assidu|(i)<BR>усидчивый
назначать|определять|предназначать|ассигновать,assignar • assigna • assignat,"<B>R: </B>assigna|r<BR><B><I>*</B></I> 1) назначать; определять (срок, границы); 2) предназначать; ассигновать"
уподоблять|усваивать,assimilar • assimila • assimilat,"уподоблять, усваивать"
ассистировать,assister • assiste • assistet,<B>R: </B>assiste|r<BR>ассистировать
ассоциировать,associar • associa • associat,ассоциировать
ассоциация,association • associar,ассоциация
сортировать|разбирать|классифицировать|подбирать|сочетать,assortir • assorti • assortit,"<B>R: </B>assorti|r<BR>1) сортировать, разбирать; классифицировать; 2) подбирать, сочетать"
астма,astma,<B>R: </B>astma<BR><I><B>*</B></I> астма<BR>-{t}ic
удивлять,astonar • astona • astonat,<B>R: </B>astona|r<BR>удивлять
ястреб,astor,<B>R: </B>astor<BR> ястреб
звезда|созвездие,astre,"<B>R: </B>astr|e<BR><I><B>*</B></I> звезда, созвездие"
лукавый,astut,<B>R: </B>astut<BR> лукавый
атаковать,atacar • attacar • ataca • atacat,<B>R: </B>at(t)aca|r<BR>атаковать
атака,atacca,атака
прицепить|зацепить,atachar • atacha • atachat,"прицепить, зацепить"
атавизм,atavo,<B>R: </B>atav|o<BR><I><B>*</B></I> ~ism = атавизм<BR>-ism = progenitor
атеизм,ateism • atheism,"<B>R: </B>at(h)e<BR>~ism = атеизм<BR>-ism, -ist"
запрягать,atelar,запрягать
ателье|мастерская,ateliere,"<B>R: </B>atelier|e<BR> ателье, мастерская"
ждать,atender • atende • atendet,ждать
покушаться|посягать,atentar • atenta • atentat,"покушаться, посягать"
внимать|обращать|внимание,atenter • atente • atentet,"внимать, обращать внимание"
внимательный,atentiv,внимательный
аттестировать,atest • attest,<B>R: </B>at(t)est<BR>~ar = аттестировать
настигать|достигать|догнать,atinger • atinge • atinget,"<B>N: </B>настигать, достигать, догнать"
атлас,atlas,<B>R: </B>atlas<BR> атлас
атлет,atlet,<B>R: </B>atlet<BR> атлет
атмосфера,atmosfere,<B>R: </B>atmosfer|e<BR> атмосфера
атом,atom,<B>R: </B>atom<BR> атом
притягивать|привлекать,atraer • atrae • atraet,"притягивать, привлекать"
поймать|схватить,atrappar • atrappa • atrappat,"поймать, схватить"
придавать|приписывать,atribuer • atribue • atribuet,"придавать, приписывать"
